"db","database_role","axis","variable_code","variable","measured","raw_smd","matched_smd","limitation"
"EICU","supplementary","available baseline axis","age","age",1,0.0694852387881654,0.0570080844028371,""
"EICU","supplementary","available baseline axis","is_female","sex",1,0.117324049238553,0.0183637071279626,""
"EICU","supplementary","available baseline axis","bmi","BMI",1,0.016744651669913,0.0334886926096196,""
"EICU","supplementary","available baseline axis","surg_cabg","CABG surgery",1,0.391776156379516,0.0193273941756521,""
"EICU","supplementary","available baseline axis","surg_valve","valve surgery",1,0.171327388227095,0.0278663788406656,""
"EICU","supplementary","available baseline axis","surg_combined","combined surgery",1,0.145863592656476,0.0100159809891435,""
"EICU","supplementary","available baseline axis","heart_failure","heart failure",1,0.079303752940958,0.0465310062641595,""
"EICU","supplementary","available baseline axis","hypertension","hypertension",1,0.171670395234277,0.0294299153204084,""
"EICU","supplementary","available baseline axis","diabetes","diabetes",1,0.0676404148682662,0.0123570736505519,""
"EICU","supplementary","available baseline axis","copd","COPD",1,0.0656752566138099,0.0203758945143375,""
"EICU","supplementary","available baseline axis","pvd","peripheral vascular disease",1,0.0453837113590286,0.028785486075935,""
"EICU","supplementary","available baseline axis","stroke","stroke",1,0.0209031510597457,0.0699194200095539,""
"EICU","supplementary","available baseline axis","liver_disease","liver disease",1,0.0356121306308478,0.0191800675040877,""
"EICU","supplementary","available baseline axis","egfr","baseline (at ICU T0): eGFR",1,0.06650123533175,0.201324411654624,""
"EICU","supplementary","available baseline axis","last_lactate","baseline (at ICU T0): lactate",1,0.343900006338605,0.25057096373871,""
"EICU","supplementary","available baseline axis","last_lactate_missing","baseline (at ICU T0): lactate missing",1,0.33869497804672,0.073144160559995,""
"EICU","supplementary","available baseline axis","last_heartrate","baseline (at ICU T0): heart rate",1,0.142315078199142,0.0174810147932332,""
"EICU","supplementary","available baseline axis","last_hemoglobin","baseline (at ICU T0): hemoglobin",1,0.0393328338395577,0.0632160071975784,""
"EICU","supplementary","available baseline axis","alb_cat","baseline (at ICU T0): serum albumin category",1,0.55650568529318,0.114489290770756,""
"EICU","supplementary","available baseline axis","surg_aortic","aortic surgery",1,0.160549908826495,0.0159405360821132,""
"EICU","supplementary","unavailable resuscitation-severity axis","vaso_at_t0","baseline (at ICU T0): vasopressor status",0,NA,NA,"omitted: hospital-level informative missingness"
"EICU","supplementary","unavailable resuscitation-severity axis","map_before_t0","baseline (at ICU T0): MAP",0,NA,NA,"omitted: hospital-level informative missingness"
"EICU","supplementary","unavailable resuscitation-severity axis","vent_at_t0","baseline (at ICU T0): ventilation status",0,NA,NA,"omitted: APACHE day-1 proxy can post-date T0"
